Delay_ms,Throughput,DCB_Read_ms,Brotli_Read_ms,Gap_ms
0 (control),~1 GB/s,26.50,43.60,-17.10
0,668 MB/s,28.50,45.20,-16.70
1,118 MB/s,192.40,86.30,106.10
2,127 MB/s,178.40,84.60,93.80
3,123 MB/s,200.00,67.80,132.20
4,125 MB/s,188.00,79.70,108.30
5,81.6 MB/s,275.60,115.10,160.50
6,87.8 MB/s,272.20,110.00,162.20
7,82.9 MB/s,267.80,101.00,166.80
8,81.8 MB/s,274.40,116.70,157.70
9,63.5 MB/s,357.80,131.50,226.30
10,64.7 MB/s,357.80,135.50,222.30
